Year,State,District,Agro-Climatic Zone,Crop,Season,Area (ha),Rainfall (mm),Irrigation (%),Soil Type,Fertilizer Use (kg/ha),Production (tonnes),crop_yield
2018,Punjab,District_97,Lower Gangetic Plains,Wheat,Zaid,111258,401.18,31.71,Red,92.71,335667,3.02
2017,Rajasthan,District_10,Western Dry Region,Cotton,Kharif,98976,396.13,52.39,Black,65.63,286633,2.9
2005,Rajasthan,District_83,Cauvery Delta Zone,Wheat,Rabi,92445,1770.47,84.76,Clay,190.79,397786,4.3
2018,Maharashtra,District_11,Cauvery Delta Zone,Cotton,Zaid,10971,739.34,62.58,Black,70.21,42541,3.88
2003,Bihar,District_3,Cauvery Delta Zone,Wheat,Rabi,15778,898.6,55.18,Black,197.21,43611,2.76
2003,Andhra Pradesh,District_23,Eastern Plateau and Hills,Maize,Kharif,80586,1452.75,86.97,Alluvial,217.77,228294,2.83
2006,Punjab,District_62,Western Dry Region,Wheat,Rabi,127834,1426.96,79.78,Sandy,231.27,228312,1.79
2006,Bihar,District_70,Eastern Plateau and Hills,Sugarcane,Zaid,93959,1497.26,53.23,Sandy,230.57,226680,2.41
2015,Tamil Nadu,District_41,Central Plateau and Hills,Cotton,Rabi,117704,448.63,99.13,Black,266.71,325176,2.76
2015,Andhra Pradesh,District_41,Upper Gangetic Plains,Maize,Kharif,26749,1319.85,83.79,Red,254.6,80045,2.99
2004,Tamil Nadu,District_93,Western Dry Region,Cotton,Rabi,30980,1116.85,52.77,Laterite,249.85,56001,1.81
2014,Maharashtra,District_4,Central Plateau and Hills,Wheat,Rabi,25337,1669.08,85.02,Red,97.58,64167,2.53
2003,Tamil Nadu,District_3,Trans-Gangetic Plains,Cotton,Zaid,147229,561.6,65.2,Clay,146.78,589984,4.01
2012,Uttar Pradesh,District_84,Western Dry Region,Rice,Kharif,32672,1495.69,24.72,Alluvial,97.7,124400,3.81
2018,Uttar Pradesh,District_51,Northern Hill Zone,Wheat,Zaid,114717,1597.68,77.58,Red,275.19,500978,4.37
2006,Rajasthan,District_55,Northern Hill Zone,Wheat,Zaid,46097,1978.63,51.82,Black,132.32,102125,2.22
2011,Punjab,District_63,Cauvery Delta Zone,Cotton,Zaid,39124,1342.34,77.98,Laterite,216.11,71447,1.83
2008,Karnataka,District_49,Eastern Plateau and Hills,Maize,Kharif,41280,739.43,57.67,Black,164.54,151345,3.67
2016,West Bengal,District_72,Lower Gangetic Plains,Sugarcane,Rabi,143010,1739.67,42.89,Alluvial,173.15,290940,2.03
2001,Karnataka,District_70,Trans-Gangetic Plains,Maize,Kharif,56654,1654.03,43.61,Black,287.81,176905,3.12
2015,Bihar,District_69,Western Plateau,Sugarcane,Rabi,95421,361.59,34.11,Alluvial,140.4,269920,2.83
2006,Tamil Nadu,District_8,Cauvery Delta Zone,Rice,Zaid,21528,1587.45,91.38,Laterite,86.34,41060,1.91
2017,Gujarat,District_8,Cauvery Delta Zone,Sugarcane,Rabi,148280,1473.6,96.27,Black,211.45,305234,2.06
2006,Rajasthan,District_99,Northern Hill Zone,Maize,Kharif,34716,708.59,76.07,Alluvial,183.68,114651,3.3
2000,Andhra Pradesh,District_19,Northern Hill Zone,Sugarcane,Kharif,53280,1302.58,26.05,Red,51.83,220855,4.15
2002,Gujarat,District_74,Upper Gangetic Plains,Sugarcane,Kharif,94752,1194.52,59.06,Black,211.12,229815,2.43
2020,West Bengal,District_55,Cauvery Delta Zone,Rice,Rabi,82469,751.85,26.02,Laterite,142.31,319591,3.88
2010,Uttar Pradesh,District_99,Northern Hill Zone,Sugarcane,Rabi,144899,1089.18,44.99,Clay,87.09,244747,1.69
2014,Karnataka,District_73,Western Dry Region,Cotton,Kharif,131505,629.43,23.05,Alluvial,104.71,333961,2.54
2002,Bihar,District_72,Lower Gangetic Plains,Rice,Kharif,35127,569.89,99.64,Sandy,213.6,76915,2.19
2012,West Bengal,District_8,Northern Hill Zone,Rice,Rabi,118807,1897.01,54.2,Clay,150.01,431692,3.63
2003,Gujarat,District_57,Northern Hill Zone,Cotton,Zaid,39767,1275.62,42.03,Laterite,257.06,83044,2.09
2007,Maharashtra,District_72,Central Plateau and Hills,Rice,Kharif,140514,1678.94,26.48,Black,76.44,278528,1.98
2003,Andhra Pradesh,District_84,Cauvery Delta Zone,Rice,Rabi,137930,875.41,31.5,Clay,258.63,459227,3.33
2017,Uttar Pradesh,District_7,Western Dry Region,Maize,Kharif,60747,875.67,38.31,Sandy,201.58,205889,3.39
2006,Uttar Pradesh,District_46,Cauvery Delta Zone,Maize,Zaid,84199,1150.44,55.55,Alluvial,263.39,210287,2.5
2010,Karnataka,District_22,Upper Gangetic Plains,Wheat,Zaid,5910,1754.59,31.01,Red,245.92,13120,2.22
2003,Bihar,District_81,Lower Gangetic Plains,Wheat,Zaid,51462,1913.41,27.48,Clay,204.68,169504,3.29
2012,Punjab,District_44,East Coast Plains & Hills,Rice,Rabi,134326,381.19,74.23,Black,199.13,604110,4.5
2008,Tamil Nadu,District_5,Trans-Gangetic Plains,Rice,Zaid,6769,1094.49,67.46,Alluvial,105.55,12444,1.84
2008,Andhra Pradesh,District_98,Eastern Plateau and Hills,Cotton,Kharif,98715,1788.47,34.65,Clay,114.32,415546,4.21
2020,Bihar,District_25,Western Dry Region,Cotton,Zaid,9626,1230.84,60.74,Red,278.22,14844,1.54
2018,Gujarat,District_47,Central Plateau and Hills,Rice,Kharif,33590,1066.12,38.92,Red,94.27,121607,3.62
2002,Andhra Pradesh,District_43,Northern Hill Zone,Sugarcane,Kharif,38334,557.08,26.82,Sandy,297.64,70197,1.83
2011,Maharashtra,District_15,Northern Hill Zone,Maize,Kharif,141502,1053.7,77.33,Laterite,255.79,501004,3.54
2010,West Bengal,District_64,Northern Hill Zone,Sugarcane,Kharif,23372,1557.41,62.09,Clay,201.26,78387,3.35
2019,West Bengal,District_31,Trans-Gangetic Plains,Maize,Kharif,112199,1453.71,68.29,Laterite,258.09,296977,2.65
2010,Rajasthan,District_83,Cauvery Delta Zone,Rice,Zaid,15408,1046.19,32.06,Red,166.08,56529,3.67
2016,Gujarat,District_44,Trans-Gangetic Plains,Maize,Rabi,142205,1603.94,80.11,Laterite,240.84,548505,3.86
2020,Tamil Nadu,District_95,Central Plateau and Hills,Wheat,Zaid,17301,1309.66,81.49,Laterite,106.25,67194,3.88
2013,Uttar Pradesh,District_47,Trans-Gangetic Plains,Rice,Zaid,55053,766.83,59.95,Laterite,96,127530,2.32
2015,Uttar Pradesh,District_12,Northern Hill Zone,Rice,Rabi,111684,535.65,89.34,Alluvial,165.32,377399,3.38
2009,Karnataka,District_64,Lower Gangetic Plains,Rice,Zaid,92084,1434.15,99.36,Black,239.78,243379,2.64
2003,Rajasthan,District_23,Northern Hill Zone,Cotton,Rabi,63402,597.96,55.03,Alluvial,183.65,169954,2.68
2009,Maharashtra,District_50,Western Dry Region,Rice,Kharif,44301,659.54,75.58,Black,232.86,190893,4.31
2019,Tamil Nadu,District_87,Trans-Gangetic Plains,Rice,Zaid,35608,773.57,21.7,Sandy,264.33,144200,4.05
2011,Andhra Pradesh,District_36,Trans-Gangetic Plains,Rice,Kharif,25736,1912.43,25.51,Red,169.78,98846,3.84
2008,Uttar Pradesh,District_11,Upper Gangetic Plains,Sugarcane,Kharif,73919,1455.97,60.17,Black,198.85,207647,2.81
2014,Andhra Pradesh,District_86,Upper Gangetic Plains,Maize,Rabi,112938,1876.46,33.78,Clay,127.18,371404,3.29
2008,Bihar,District_47,East Coast Plains & Hills,Wheat,Zaid,73024,716.33,21.85,Red,236.35,286219,3.92
2006,Punjab,District_56,Northern Hill Zone,Rice,Kharif,42273,1346.98,25.03,Sandy,268.73,179792,4.25
2011,Maharashtra,District_94,Eastern Plateau and Hills,Maize,Kharif,133692,1444.6,28.37,Alluvial,110.88,499588,3.74
2019,Gujarat,District_69,Eastern Plateau and Hills,Wheat,Kharif,75962,1915.99,94.33,Sandy,200.04,207349,2.73
2013,Andhra Pradesh,District_37,Western Plateau,Maize,Rabi,110380,1093.71,74.04,Sandy,213.07,314778,2.85
2015,Karnataka,District_84,East Coast Plains & Hills,Rice,Rabi,144961,1392.83,83.11,Clay,82.32,469392,3.24
2018,West Bengal,District_10,Central Plateau and Hills,Maize,Kharif,6723,1791.91,33.61,Sandy,132.01,16453,2.45
2002,Karnataka,District_56,Upper Gangetic Plains,Maize,Zaid,78330,540.94,46.05,Black,109.2,232618,2.97
2010,Tamil Nadu,District_86,East Coast Plains & Hills,Maize,Rabi,78652,1848.28,29.03,Sandy,158.45,240691,3.06
2020,Maharashtra,District_42,Lower Gangetic Plains,Rice,Kharif,34115,858.29,89.46,Black,293.17,130053,3.81
2019,Karnataka,District_30,Lower Gangetic Plains,Cotton,Kharif,116129,1029.69,55.67,Black,169.03,368093,3.17
2018,Andhra Pradesh,District_94,East Coast Plains & Hills,Cotton,Rabi,99247,1157.77,90.83,Red,82.3,335258,3.38
2007,Rajasthan,District_22,East Coast Plains & Hills,Maize,Kharif,24745,1519.72,71.65,Black,268.42,92638,3.74
2019,Karnataka,District_55,Western Dry Region,Rice,Zaid,103344,567.79,93.22,Red,176.3,192293,1.86
2007,Uttar Pradesh,District_38,Western Plateau,Maize,Rabi,64276,1465.12,76.26,Laterite,295.69,98003,1.52
2002,Bihar,District_56,Upper Gangetic Plains,Cotton,Rabi,91400,461.92,63.67,Clay,277.22,139782,1.53
2009,West Bengal,District_71,Northern Hill Zone,Sugarcane,Zaid,88278,951.09,20.79,Alluvial,65.83,361447,4.09
2012,Uttar Pradesh,District_36,Trans-Gangetic Plains,Sugarcane,Kharif,65230,1351.49,45.37,Black,215.97,266873,4.09
2008,Andhra Pradesh,District_78,Northern Hill Zone,Maize,Rabi,128698,538.84,69.88,Black,208.39,471563,3.66
2005,Rajasthan,District_11,Cauvery Delta Zone,Cotton,Zaid,100654,1435.23,99.66,Clay,51.09,402302,4
2014,Maharashtra,District_7,Trans-Gangetic Plains,Sugarcane,Zaid,25376,1922.36,61.25,Sandy,277.61,58911,2.32
2015,Punjab,District_96,Upper Gangetic Plains,Sugarcane,Kharif,138897,1926.25,72.91,Black,264.29,494636,3.56
2004,Gujarat,District_82,Western Plateau,Maize,Rabi,144849,1296.05,94.73,Laterite,299.84,279371,1.93
2020,Rajasthan,District_34,Western Dry Region,Maize,Rabi,75237,1181.93,29.29,Red,65.85,193478,2.57
2012,Karnataka,District_63,Western Dry Region,Cotton,Zaid,106666,1040.25,62.7,Clay,163.78,260276,2.44
2018,Maharashtra,District_2,Western Dry Region,Wheat,Zaid,92880,1075.13,82.96,Clay,90.71,328184,3.53
2001,Maharashtra,District_62,Trans-Gangetic Plains,Sugarcane,Rabi,129150,1264.87,50.54,Laterite,244.23,491818,3.81
2005,Bihar,District_7,Trans-Gangetic Plains,Wheat,Kharif,81785,1039.09,67.08,Clay,166,253533,3.1
2000,Tamil Nadu,District_43,Central Plateau and Hills,Sugarcane,Kharif,136294,1024.84,76.5,Sandy,275.75,601012,4.41
2014,Bihar,District_95,Lower Gangetic Plains,Sugarcane,Kharif,32073,790.16,81.19,Clay,243.75,104664,3.26
2014,West Bengal,District_18,Cauvery Delta Zone,Sugarcane,Zaid,110143,1452.25,41.14,Black,174.25,311798,2.83
2013,Gujarat,District_20,Trans-Gangetic Plains,Maize,Zaid,41432,1784.25,36.32,Sandy,80.98,110060,2.66
2006,Andhra Pradesh,District_7,Western Plateau,Wheat,Kharif,20747,357.34,93.67,Clay,196.88,86966,4.19
2004,Andhra Pradesh,District_86,Trans-Gangetic Plains,Rice,Rabi,12496,1938.52,21.85,Black,220.82,41433,3.32
2019,Punjab,District_52,Upper Gangetic Plains,Maize,Zaid,16282,1531.43,84.36,Laterite,146.72,63233,3.88
2015,Gujarat,District_37,Western Plateau,Sugarcane,Zaid,90121,316.15,37.72,Black,108.8,335431,3.72
2016,Maharashtra,District_98,Northern Hill Zone,Wheat,Rabi,121417,469.86,81.08,Alluvial,144.45,449771,3.7
2010,Uttar Pradesh,District_46,Cauvery Delta Zone,Wheat,Zaid,71046,1886.76,62.91,Alluvial,202.79,251485,3.54
2014,Tamil Nadu,District_42,Northern Hill Zone,Cotton,Zaid,137403,1440.64,59.99,Sandy,215.23,268898,1.96
2019,Punjab,District_60,Central Plateau and Hills,Maize,Kharif,122244,402.99,47.58,Alluvial,267.91,256247,2.1
2015,Rajasthan,District_80,Upper Gangetic Plains,Rice,Kharif,109708,873.79,93.91,Black,68.89,391261,3.57
2002,Maharashtra,District_78,Cauvery Delta Zone,Cotton,Rabi,67114,1803.11,34.47,Alluvial,226.67,244451,3.64
2005,Rajasthan,District_32,Cauvery Delta Zone,Wheat,Kharif,50016,1754.74,24.28,Clay,275.31,117530,2.35
2020,Andhra Pradesh,District_38,Western Dry Region,Cotton,Zaid,141543,624.15,64.23,Laterite,201.62,464231,3.28
2012,Punjab,District_39,Northern Hill Zone,Sugarcane,Kharif,92371,1019.56,28.33,Laterite,211.34,372167,4.03
2000,Maharashtra,District_26,Lower Gangetic Plains,Maize,Kharif,88836,1579.36,66.17,Laterite,154.57,192267,2.16
2020,West Bengal,District_30,Lower Gangetic Plains,Rice,Zaid,37165,1467.05,61.71,Laterite,271.02,61445,1.65
2013,Maharashtra,District_41,Western Plateau,Rice,Zaid,59492,469.42,73.59,Sandy,191.04,200760,3.37
2001,Uttar Pradesh,District_9,Eastern Plateau and Hills,Wheat,Zaid,72347,1312.09,89.38,Alluvial,149.43,310808,4.3
2001,Uttar Pradesh,District_32,Western Plateau,Cotton,Kharif,71863,343,48.56,Red,174.18,216409,3.01
2014,Punjab,District_56,Trans-Gangetic Plains,Rice,Kharif,36020,914.44,67.3,Sandy,63.33,93848,2.61
2017,Bihar,District_53,Cauvery Delta Zone,Rice,Kharif,19570,1180.11,60.28,Red,244.4,72807,3.72
2008,Gujarat,District_7,Lower Gangetic Plains,Sugarcane,Rabi,144057,373.07,34.23,Sandy,74.96,283438,1.97
2002,Gujarat,District_76,Northern Hill Zone,Sugarcane,Kharif,102112,1735.22,51.06,Red,154.19,208156,2.04
2003,Bihar,District_23,Eastern Plateau and Hills,Wheat,Rabi,134769,1002.6,61.06,Laterite,169.11,477295,3.54
2014,Gujarat,District_81,East Coast Plains & Hills,Cotton,Zaid,137938,989.5,26.57,Alluvial,215.69,455384,3.3
2004,Maharashtra,District_52,Eastern Plateau and Hills,Sugarcane,Zaid,76773,486.66,36.8,Black,142.44,307684,4.01
2019,West Bengal,District_21,Western Plateau,Cotton,Rabi,49999,1107.51,56.13,Black,69.4,77993,1.56
2019,Gujarat,District_76,Central Plateau and Hills,Wheat,Zaid,69201,447.5,70.29,Sandy,58.15,148652,2.15
2004,Rajasthan,District_86,Lower Gangetic Plains,Maize,Zaid,100311,557.76,69.78,Red,252.08,281425,2.81
2009,West Bengal,District_23,Western Dry Region,Wheat,Rabi,84339,1719.34,38.8,Alluvial,112.03,368013,4.36
2015,Rajasthan,District_69,Northern Hill Zone,Maize,Rabi,49601,1460.39,96.49,Black,97.81,203558,4.1
2011,Tamil Nadu,District_18,Eastern Plateau and Hills,Sugarcane,Kharif,140771,1313.55,41.51,Alluvial,238.45,456166,3.24
2013,Bihar,District_37,Eastern Plateau and Hills,Rice,Kharif,30802,1162.53,57.24,Clay,167.95,58998,1.92
2010,Gujarat,District_7,Upper Gangetic Plains,Wheat,Rabi,46001,1103.84,63.06,Black,261.56,96586,2.1
2018,Tamil Nadu,District_61,Trans-Gangetic Plains,Cotton,Rabi,60359,1917.3,48.57,Alluvial,291.83,255775,4.24
2005,Rajasthan,District_3,East Coast Plains & Hills,Cotton,Rabi,110002,1984.96,63.72,Black,172.52,194179,1.77
2009,Karnataka,District_1,Northern Hill Zone,Maize,Rabi,131120,954.69,50.23,Red,90.72,491409,3.75
2019,West Bengal,District_60,Trans-Gangetic Plains,Cotton,Rabi,17605,323.26,60.88,Black,158.34,73772,4.19
2002,Karnataka,District_6,Trans-Gangetic Plains,Sugarcane,Kharif,107565,1847.2,67.29,Laterite,115.72,214817,2
2014,Maharashtra,District_71,Western Plateau,Maize,Rabi,103535,844.42,29.23,Black,98.69,218141,2.11
2010,Tamil Nadu,District_91,Northern Hill Zone,Rice,Zaid,107234,1870.37,76.79,Clay,157.49,178103,1.66
2001,Gujarat,District_58,Northern Hill Zone,Wheat,Kharif,109133,1206.29,79.51,Laterite,249.34,477740,4.38
2005,West Bengal,District_31,Central Plateau and Hills,Maize,Zaid,5433,1939.63,26.6,Red,284.92,19626,3.61
2016,West Bengal,District_8,Western Plateau,Sugarcane,Kharif,134391,1171.42,23.75,Sandy,154.12,259291,1.93
2017,Karnataka,District_78,Northern Hill Zone,Maize,Zaid,35115,1032.4,79.99,Sandy,112.84,122659,3.49
2003,Andhra Pradesh,District_15,Northern Hill Zone,Sugarcane,Zaid,139300,1867.88,96.15,Alluvial,52.82,470952,3.38
2008,Karnataka,District_7,Trans-Gangetic Plains,Maize,Rabi,68367,1523.39,50.97,Black,142.49,153689,2.25
2009,Rajasthan,District_7,Eastern Plateau and Hills,Maize,Rabi,62126,1731.48,91.57,Clay,240.29,217809,3.51
2020,Tamil Nadu,District_33,Lower Gangetic Plains,Rice,Kharif,13519,428.64,88.36,Black,64.97,52420,3.88
2001,Rajasthan,District_41,Upper Gangetic Plains,Maize,Kharif,5081,1342.61,36.2,Laterite,127.44,17689,3.48
2010,Gujarat,District_57,Lower Gangetic Plains,Sugarcane,Rabi,81943,1435.35,67.63,Clay,277.76,205397,2.51
2010,West Bengal,District_7,Trans-Gangetic Plains,Maize,Zaid,109954,526.26,21.33,Laterite,79.36,242279,2.2
2010,Gujarat,District_59,Northern Hill Zone,Cotton,Kharif,107486,810.1,90.53,Alluvial,154.68,406071,3.78
2000,Maharashtra,District_20,Eastern Plateau and Hills,Rice,Kharif,91669,1815.26,61.68,Red,241.43,250554,2.73
2013,Uttar Pradesh,District_71,Cauvery Delta Zone,Sugarcane,Rabi,56910,690.05,96.71,Clay,112.53,128450,2.26
2000,Gujarat,District_50,Western Plateau,Wheat,Rabi,68846,1624.02,47.77,Sandy,245.77,215418,3.13
2020,Tamil Nadu,District_14,Lower Gangetic Plains,Maize,Kharif,93994,342.94,21.86,Laterite,294.97,405064,4.31
2008,Tamil Nadu,District_15,Lower Gangetic Plains,Sugarcane,Zaid,96236,608.33,42.94,Red,68.75,399329,4.15
2000,Punjab,District_82,Central Plateau and Hills,Cotton,Kharif,147639,387.64,46.79,Sandy,271.94,239832,1.62
2020,Punjab,District_10,Northern Hill Zone,Maize,Rabi,38450,991.93,59.4,Sandy,141.35,88223,2.29
2003,Punjab,District_99,Cauvery Delta Zone,Cotton,Kharif,124220,645.13,32.38,Black,106.67,406033,3.27
2000,Bihar,District_91,East Coast Plains & Hills,Maize,Kharif,110155,742.39,74.15,Sandy,214.19,286371,2.6
2018,West Bengal,District_65,Western Plateau,Maize,Zaid,124178,1160.23,26.03,Clay,248.99,393182,3.17
2009,Rajasthan,District_55,Central Plateau and Hills,Wheat,Kharif,126879,1181.16,38.58,Red,56.86,459448,3.62
2014,Karnataka,District_28,East Coast Plains & Hills,Wheat,Zaid,126224,661.89,20.43,Sandy,114.6,295789,2.34
2019,West Bengal,District_98,Western Dry Region,Cotton,Rabi,70853,1746.49,63.18,Laterite,60.41,164182,2.32
2003,Punjab,District_48,Western Plateau,Rice,Rabi,8141,870.45,37.2,Red,65.6,14377,1.77
2019,Karnataka,District_3,Northern Hill Zone,Maize,Kharif,93692,943.89,68,Sandy,221.23,302391,3.23
2013,Bihar,District_60,Upper Gangetic Plains,Wheat,Rabi,23380,1823.49,65.13,Alluvial,194.97,60363,2.58
2004,Karnataka,District_3,Central Plateau and Hills,Rice,Rabi,56043,1031.71,82.82,Alluvial,151.92,214161,3.82
2014,Tamil Nadu,District_75,Eastern Plateau and Hills,Cotton,Kharif,98918,667.17,75.81,Red,158.44,191838,1.94
2014,Rajasthan,District_68,Trans-Gangetic Plains,Sugarcane,Kharif,42047,446.04,23.87,Laterite,77.86,148443,3.53
2015,Karnataka,District_94,Central Plateau and Hills,Wheat,Kharif,74074,1432.31,61.44,Clay,156.69,194967,2.63
2015,Bihar,District_39,Eastern Plateau and Hills,Maize,Rabi,108361,625.95,88.9,Sandy,143.88,464421,4.29
2003,Punjab,District_54,Eastern Plateau and Hills,Wheat,Zaid,142303,1654.4,25.31,Laterite,256.33,391076,2.75
2008,Punjab,District_32,Western Plateau,Maize,Rabi,81405,1818.84,96.14,Black,238.9,132742,1.63
2000,Rajasthan,District_16,Northern Hill Zone,Wheat,Rabi,99299,1164.79,99.35,Red,140.28,189354,1.91
2004,West Bengal,District_17,Western Plateau,Cotton,Zaid,95971,1292.93,53.85,Black,257.34,227819,2.37
2008,Gujarat,District_11,Eastern Plateau and Hills,Cotton,Zaid,121153,427.21,45.22,Red,223.58,230566,1.9
2019,Uttar Pradesh,District_100,Central Plateau and Hills,Cotton,Zaid,52753,1420.43,87.61,Red,220.24,80309,1.52
2004,Rajasthan,District_32,Central Plateau and Hills,Cotton,Zaid,137921,1852.59,89.42,Sandy,167.52,583189,4.23
2003,West Bengal,District_99,Lower Gangetic Plains,Cotton,Rabi,101480,301.32,85.9,Laterite,207.6,244521,2.41
2015,Rajasthan,District_27,Western Plateau,Maize,Zaid,112443,667.07,84.85,Laterite,293.53,193412,1.72
2001,Maharashtra,District_98,Trans-Gangetic Plains,Maize,Rabi,87671,861.01,74.46,Laterite,88.58,197517,2.25
2015,Tamil Nadu,District_5,Trans-Gangetic Plains,Sugarcane,Rabi,96419,1691.01,22.73,Black,242.03,427016,4.43
2017,Tamil Nadu,District_89,Western Plateau,Cotton,Kharif,38381,483.19,66.18,Alluvial,138.6,144487,3.76
2001,West Bengal,District_92,Eastern Plateau and Hills,Rice,Kharif,32538,1051.32,42.32,Laterite,265.4,126923,3.9
2015,Uttar Pradesh,District_18,Upper Gangetic Plains,Maize,Zaid,13103,615.57,67.65,Clay,195.04,54825,4.18
2000,Tamil Nadu,District_3,Trans-Gangetic Plains,Maize,Rabi,125170,1851.33,44.14,Sandy,249.65,430478,3.44
2015,West Bengal,District_28,Western Dry Region,Sugarcane,Kharif,34240,655.93,43.14,Red,262.22,119726,3.5
2002,Rajasthan,District_66,Western Plateau,Maize,Zaid,125246,829.62,40.72,Clay,290.39,530418,4.24
2014,Andhra Pradesh,District_34,Western Dry Region,Wheat,Zaid,33066,1239.08,50.07,Alluvial,231.74,114297,3.46
2010,Karnataka,District_86,Lower Gangetic Plains,Maize,Kharif,40577,437.25,49.59,Laterite,122.76,83042,2.05
2009,Andhra Pradesh,District_22,Trans-Gangetic Plains,Wheat,Rabi,19402,1027.09,89.09,Alluvial,130.82,83813,4.32
2016,Andhra Pradesh,District_30,Western Plateau,Sugarcane,Kharif,126899,832.89,52.42,Alluvial,218.07,211309,1.67
2003,Karnataka,District_98,Western Plateau,Wheat,Zaid,97053,1777.54,49.14,Sandy,106.17,387427,3.99
2016,Andhra Pradesh,District_48,Trans-Gangetic Plains,Rice,Zaid,36704,1652.11,40.33,Red,190.6,89118,2.43
2003,Uttar Pradesh,District_65,Upper Gangetic Plains,Maize,Kharif,107314,1875.25,63.78,Alluvial,221.15,260955,2.43
2018,Karnataka,District_93,Trans-Gangetic Plains,Rice,Kharif,133774,773.34,48.75,Black,175.32,216533,1.62
2000,Tamil Nadu,District_61,Northern Hill Zone,Cotton,Zaid,43819,1684.93,98.26,Laterite,158.67,86806,1.98
2013,Andhra Pradesh,District_19,Upper Gangetic Plains,Sugarcane,Zaid,80672,1696.45,57.68,Red,154.73,318305,3.95
2010,Andhra Pradesh,District_83,Eastern Plateau and Hills,Sugarcane,Kharif,29307,496.82,20.29,Sandy,164.36,125678,4.29
2006,Maharashtra,District_52,East Coast Plains & Hills,Maize,Zaid,146733,1150.48,48.08,Clay,87.58,336987,2.3
2016,Bihar,District_41,Central Plateau and Hills,Maize,Zaid,127645,1953.67,35.16,Alluvial,139.59,247582,1.94
2003,Gujarat,District_93,Central Plateau and Hills,Sugarcane,Kharif,53604,1712.79,48.13,Clay,190.9,111314,2.08
2009,Maharashtra,District_97,Northern Hill Zone,Maize,Kharif,91882,1416.9,40.36,Red,233.84,393195,4.28
2016,West Bengal,District_81,Lower Gangetic Plains,Wheat,Zaid,129667,1173.19,37.71,Alluvial,214.4,482486,3.72
2003,Punjab,District_65,Western Dry Region,Wheat,Zaid,134515,1506.35,35.97,Sandy,63.86,368909,2.74
2018,Maharashtra,District_50,Central Plateau and Hills,Wheat,Rabi,58293,1661.23,93.26,Black,68.51,176479,3.03
2017,Karnataka,District_41,Western Dry Region,Sugarcane,Rabi,44258,1139.65,22.64,Sandy,79.43,151733,3.43
2016,Maharashtra,District_33,Northern Hill Zone,Sugarcane,Rabi,85512,1560.63,82.76,Clay,91.25,268671,3.14
2005,Karnataka,District_100,Eastern Plateau and Hills,Rice,Kharif,146477,563.34,29.66,Black,296.74,429780,2.93
2006,Andhra Pradesh,District_86,Western Dry Region,Cotton,Zaid,90267,969.83,23.78,Clay,104.3,366696,4.06
2005,Bihar,District_82,Western Dry Region,Maize,Kharif,10446,395.52,47.58,Red,239.15,36767,3.52
2011,Gujarat,District_17,Cauvery Delta Zone,Sugarcane,Rabi,89896,1602.78,71.94,Black,167.14,395761,4.4
2008,Bihar,District_96,Upper Gangetic Plains,Rice,Rabi,13908,659.49,99.15,Alluvial,158.38,40351,2.9
2017,Karnataka,District_84,Trans-Gangetic Plains,Cotton,Kharif,65560,580.63,40.97,Clay,71.96,287015,4.38
2001,Gujarat,District_55,Northern Hill Zone,Wheat,Zaid,145678,1044.18,40.75,Clay,237.17,460017,3.16
2016,Rajasthan,District_87,Lower Gangetic Plains,Maize,Rabi,137668,1209.22,31.95,Clay,78.68,390719,2.84
2020,Punjab,District_92,Northern Hill Zone,Sugarcane,Kharif,138425,581.99,85.47,Clay,186.82,542309,3.92
2000,Maharashtra,District_46,Central Plateau and Hills,Rice,Zaid,27925,916.77,83.66,Clay,125.26,71302,2.55
2008,Maharashtra,District_90,Central Plateau and Hills,Wheat,Zaid,59426,1285.43,57.3,Red,239.23,257134,4.33
2005,Maharashtra,District_59,Upper Gangetic Plains,Cotton,Rabi,37127,455.38,47.45,Black,254.39,124341,3.35
2001,Uttar Pradesh,District_71,Western Plateau,Rice,Zaid,35453,839.33,37.69,Clay,289.72,62133,1.75
2005,Punjab,District_57,Western Dry Region,Cotton,Zaid,98693,744.13,56.72,Sandy,220.49,165324,1.68
2008,Tamil Nadu,District_20,Northern Hill Zone,Sugarcane,Rabi,59581,1525.36,84.73,Sandy,93.07,260835,4.38
2002,West Bengal,District_41,East Coast Plains & Hills,Rice,Kharif,60369,581.84,75.59,Alluvial,259.52,155415,2.57
2015,Bihar,District_75,Lower Gangetic Plains,Maize,Kharif,13517,1139.68,59.56,Laterite,118.99,53983,3.99
2014,Andhra Pradesh,District_71,Western Dry Region,Wheat,Rabi,53494,856.19,62.9,Red,269.43,134781,2.52
2011,Tamil Nadu,District_38,Central Plateau and Hills,Rice,Zaid,44191,1527.98,65.66,Sandy,144.22,156294,3.54
2007,Andhra Pradesh,District_27,Eastern Plateau and Hills,Sugarcane,Rabi,100194,1936.9,80.97,Laterite,298.99,228056,2.28
2005,Gujarat,District_9,Western Plateau,Sugarcane,Zaid,70266,1770.51,29.27,Clay,72.09,151526,2.16
2002,Andhra Pradesh,District_68,Western Plateau,Cotton,Rabi,33459,1178.62,61.53,Black,229.05,77463,2.32
2003,Uttar Pradesh,District_38,Eastern Plateau and Hills,Cotton,Rabi,46778,1755.38,37.52,Sandy,244.81,195357,4.18
2009,Gujarat,District_93,Central Plateau and Hills,Maize,Kharif,141262,1506.55,92.54,Alluvial,229.94,580597,4.11
